Date,Open,High,Low,Close,Adj Close,Volume
2015-07-02,28100.380859375,28115.9609375,27906.349609375,27945.80078125,27945.80078125,6800
2015-07-03,27973.119140625,28135.4296875,27897.44921875,28092.7890625,28092.7890625,6000
2015-07-06,27857.19921875,28235.310546875,27774.80078125,28208.759765625,28208.759765625,8300
2015-07-07,28220.109375,28335.23046875,28084.359375,28171.689453125,28171.689453125,8000
2015-07-08,28031.44921875,28031.44921875,27635.720703125,27687.720703125,27687.720703125,13700
2015-07-09,27681.490234375,27798.130859375,27540.599609375,27573.66015625,27573.66015625,8200
2015-07-10,27705.359375,27729.4609375,27530.900390625,27661.400390625,27661.400390625,10800
2015-07-13,27739.3203125,28005.169921875,27635.060546875,27961.189453125,27961.189453125,7800
2015-07-14,27986.919921875,28018.58984375,27853.9609375,27932.900390625,27932.900390625,6900
2015-07-15,28022.140625,28218.369140625,27986.48046875,28198.2890625,28198.2890625,6000
2015-07-16,28259.69921875,28478.4296875,28245.810546875,28446.119140625,28446.119140625,8500
2015-07-17,28480.919921875,28576.3203125,28417.4609375,28463.310546875,28463.310546875,7300
2015-07-20,28544.279296875,28549.130859375,28319.830078125,28420.119140625,28420.119140625,6600
2015-07-21,28381.8203125,28518.060546875,28138.30078125,28182.140625,28182.140625,11700
2015-07-22,28159.419921875,28546.419921875,28070.91015625,28504.9296875,28504.9296875,9500
2015-07-23,28540.970703125,28578.330078125,28315.369140625,28370.83984375,28370.83984375,8900
2015-07-24,28390.5,28402.640625,28083.759765625,28112.310546875,28112.310546875,9300
2015-07-27,28117.650390625,28117.650390625,27529.5703125,27561.380859375,27561.380859375,9500
2015-07-28,27630.2109375,27676.650390625,27416.390625,27459.23046875,27459.23046875,11800
2015-07-29,27540.4609375,27609.2890625,27470.08984375,27563.4296875,27563.4296875,8600
2015-07-30,27685.8203125,27854.4609375,27649.970703125,27705.349609375,27705.349609375,9400
2015-07-31,27814.509765625,28161.169921875,27814.509765625,28114.560546875,28114.560546875,15000
2015-08-03,28089.08984375,28263.349609375,28071.369140625,28187.060546875,28187.060546875,10200
2015-08-04,28225.0390625,28264.720703125,27866.119140625,28071.9296875,28071.9296875,13600
2015-08-05,28138.0390625,28315.7109375,28135.6796875,28223.080078125,28223.080078125,9800
2015-08-06,28291.880859375,28359.9609375,28163.689453125,28298.130859375,28298.130859375,7500
2015-08-07,28327.109375,28335.669921875,28193.9296875,28236.390625,28236.390625,10300
2015-08-10,28250.779296875,28417.58984375,28017.849609375,28101.720703125,28101.720703125,8700
2015-08-11,28193.259765625,28205.119140625,27825.830078125,27866.08984375,27866.08984375,14700
2015-08-12,27880.759765625,27883.330078125,27479.4296875,27512.259765625,27512.259765625,18200
